transcript,target_word,latency,asr_confidence,speech_detected,label
"This is better. Do you want an extra share? No, that's fine. Okay, do you want anything? What are you going to do? Is this an apple?",apple,1.01,0.0,True,CORRECT
"Maybe. Maybe the bit. Um, is it a vehicle?",car,0.99,0.0,True,SEMANTIC_ERROR
It's like a bar.,car,1.02,0.0,True,PHONOLOGICAL_ERROR
"Oh, it's like the plant you find in a park.",tree,1.02,0.0,True,CIRCUMLOCUTION
It's a tea?,tree,0.76,0.0,True,PHONOLOGICAL_ERROR
,chair,1.02,0.0,False,UNINTELLIGIBLE
It's a share.,chair,1.09,0.0,True,PHONOLOGICAL_ERROR
"Sorry, sorry, hi.",chair,0.76,0.0,True,PARTIAL_ATTEMPT
It's a chair.,chair,1.03,0.0,True,CORRECT
So,apple,1.02,0.0,True,PARTIAL_ATTEMPT
It's an F-O,apple,0.8,0.0,True,PARTIAL_ATTEMPT
Is it an e-pal?,apple,1.07,0.0,True,PHONOLOGICAL_ERROR
It's an apple.,apple,0.77,0.0,True,CORRECT
It's a vehicle.,car,1.13,0.0,True,SEMANTIC_ERROR
It's a car.,car,0.81,0.0,True,CORRECT
They're free.,tree,1.04,0.0,True,PHONOLOGICAL_ERROR
It's a tree.,tree,0.83,0.0,True,CORRECT
It's a share.,chair,1.08,0.0,True,PHONOLOGICAL_ERROR
It's a chair,chair,0.96,0.0,True,CORRECT
It's an echo.,apple,1.07,0.0,True,PARTIAL_ATTEMPT
It's an apple.,apple,0.76,0.0,True,CORRECT
Is it a crop?,car,1.05,0.0,True,PARTIAL_ATTEMPT
afar,car,0.8,0.0,True,PHONOLOGICAL_ERROR
It's a true,tree,1.05,0.0,True,PHONOLOGICAL_ERROR
It's a re.,tree,0.8,0.0,True,PHONOLOGICAL_ERROR
Um... It's a tree?,tree,0.8,0.0,True,CORRECT
Chair.,chair,1.01,0.0,True,CORRECT
recommend one people,apple,1.06,0.0,True,PHONOLOGICAL_ERROR
Something you... you... like you... you move with?,car,1.02,0.0,True,CIRCUMLOCUTION
"Yeah. I don't know, man.",car,1.07,0.0,True,PARTIAL_ATTEMPT
It's a car.,car,1.05,0.0,True,CORRECT
Yoo-hoo! It's a ti ti ti ti ti ti! Subscribe to Bikini Clips!,tree,1.09,0.0,True,PHONOLOGICAL_ERROR
It's free.,tree,1.11,0.0,True,PHONOLOGICAL_ERROR
Judy in the background. Tree.,tree,0.81,0.0,True,CORRECT
There,chair,1.02,0.0,True,PHONOLOGICAL_ERROR
,apple,5.47,0.0,False,SILENCE
"Uh, just... Um...",apple,1.18,0.0,True,PARTIAL_ATTEMPT
Banana,apple,2.02,0.0,True,SEMANTIC_ERROR
Uhhh.... App p... App pool...,apple,1.51,0.0,True,CORRECT
A car!,car,2.49,0.0,True,CORRECT
It's a type of plant.,tree,2.29,0.0,True,SEMANTIC_ERROR
It's a rose.,tree,1.19,0.0,True,PARTIAL_ATTEMPT
"errrrrr, that's sure erm..",tree,1.01,0.0,True,PARTIAL_ATTEMPT
It's the tree.,tree,5.63,0.0,True,CORRECT
Share,chair,1.09,0.0,True,PHONOLOGICAL_ERROR
It's something to sit on.,chair,2.29,0.0,True,SEMANTIC_ERROR
,chair,5.68,0.0,False,SILENCE
It's a chair.,chair,2.23,0.0,True,CORRECT
I mean I see something I can eat. Yeah.,apple,1.35,0.0,True,CIRCUMLOCUTION
I think it's a pair.,apple,1.07,0.0,True,PARTIAL_ATTEMPT
"I don't know, I thought it was a pear. Is it a banana?",apple,0.8,0.0,True,CIRCUMLOCUTION
"Hmm, an apple?",apple,0.94,0.0,True,CORRECT
Um hte uhhhh,car,1.08,0.0,True,PARTIAL_ATTEMPT
It's red.,car,1.06,0.0,True,PARTIAL_ATTEMPT
— A taxi?,car,1.05,0.0,True,SEMANTIC_ERROR
Fangما attacked naro,car,1.27,0.0,True,PARTIAL_ATTEMPT
It's a plant.,tree,0.92,0.0,True,SEMANTIC_ERROR
I think apples grow on this.,tree,0.75,0.0,True,CIRCUMLOCUTION
I don't know.,tree,0.79,0.0,True,PARTIAL_ATTEMPT
A tree.,tree,0.8,0.0,True,CORRECT
I think that's a share.,chair,1.52,0.0,True,PARTIAL_ATTEMPT
It's this thing you sit on and maybe you eat while you sit on it or you study.,chair,0.8,0.0,True,CIRCUMLOCUTION
"Yeah, share.",chair,1.03,0.0,True,PHONOLOGICAL_ERROR
"I know you sit on it, you just said that.",chair,1.01,0.0,True,CIRCUMLOCUTION
just so parents,apple,1.01,0.0,True,PARTIAL_ATTEMPT
disappear.,apple,1.02,0.0,True,PHONOLOGICAL_ERROR
Is it an orange?,apple,0.75,0.0,True,PARTIAL_ATTEMPT
Apple? Apple?,apple,0.79,0.0,True,CORRECT
,car,1.03,0.0,False,UNINTELLIGIBLE
,car,1.01,0.0,False,UNINTELLIGIBLE
A park,tree,1.01,0.0,True,SEMANTIC_ERROR
you,tree,0.74,0.0,True,PARTIAL_ATTEMPT
Bit and void. m calls again e,tree,1.03,0.0,True,PARTIAL_ATTEMPT
,tree,0.99,0.0,False,UNINTELLIGIBLE
three,tree,0.99,0.0,True,CORRECT
So,chair,1.06,0.0,True,PARTIAL_ATTEMPT
Seat.,chair,0.74,0.0,True,SEMANTIC_ERROR
I don't know.,chair,1.07,0.0,True,PARTIAL_ATTEMPT
Thank you.,chair,0.74,0.0,True,PARTIAL_ATTEMPT
Is it like a banana?,apple,1.26,0.0,True,SEMANTIC_ERROR
it's maybe like um like the thing you eat like um apple,apple,1.44,0.0,True,CORRECT
Um...,car,1.88,0.0,True,PARTIAL_ATTEMPT
brah blah blah blah,car,2.85,0.0,True,PARTIAL_ATTEMPT
So it's a bus.,car,1.0,0.0,True,SEMANTIC_ERROR
Is it a car?,car,1.59,0.0,True,CORRECT
"It's a plant, a green plant.",tree,0.96,0.0,True,CIRCUMLOCUTION
it's um it's um it's a,tree,1.21,0.0,True,PARTIAL_ATTEMPT
Is it a trick?,tree,1.84,0.0,True,PARTIAL_ATTEMPT
"Oh, it's a tree, a tree.",tree,2.42,0.0,True,CORRECT
this this is you sit on it you sit on it,chair,1.76,0.0,True,CIRCUMLOCUTION
It's like... like... air.,chair,1.57,0.0,True,PARTIAL_ATTEMPT
"Well, it's like a stool.",chair,2.09,0.0,True,SEMANTIC_ERROR
"Oh, it's a chair.",chair,1.44,0.0,True,CORRECT
NEPL,apple,1.79,0.0,True,CORRECT
Tire.,car,1.05,0.0,True,SEMANTIC_ERROR
"Buh, referees",car,0.89,0.0,True,PARTIAL_ATTEMPT
woop woop woop Yeah.,car,9.49,0.0,True,PARTIAL_ATTEMPT
"Kick. Jet, jet.",car,4.39,0.0,True,PARTIAL_ATTEMPT
BUSH!,tree,1.88,0.0,True,PARTIAL_ATTEMPT
It's a trunk.,tree,1.73,0.0,True,SEMANTIC_ERROR
Re. Re.,tree,3.0,0.0,True,PHONOLOGICAL_ERROR
3,tree,1.28,0.0,True,PARTIAL_ATTEMPT
It's a stool.,chair,0.93,0.0,True,SEMANTIC_ERROR
Wood,chair,1.22,0.0,True,SEMANTIC_ERROR
So fun.,chair,5.44,0.0,True,PARTIAL_ATTEMPT
It's a char.,chair,1.65,0.0,True,PHONOLOGICAL_ERROR
